"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","AFG","1995","17586.073","",""
"","ALB","1995","3357.858","",""
"","DZA","1995","29315.463","",""
"","ASM","1995","52.919","",""
"","AND","1995","64.699","",""
"","AGO","1995","12104.952","",""
"","AIA","1995","9.805","",""
"","ATG","1995","68.349","",""
"","ARG","1995","34833.168","",""
"","ARM","1995","3223.173","",""
"","ABW","1995","80.32599999999999","",""
"","AUS","1995","18124.234","",""
"","AUT","1995","7985.372","",""
"","AZE","1995","7770.806","",""
"","BHS","1995","280.05","",""
"","BHR","1995","563.73","",""
"","BGD","1995","119869.585","",""
"","BRB","1995","263.165","",""
"","BLR","1995","10189.075","",""
"","BEL","1995","10161.914","",""
"","BLZ","1995","206.962","",""
"","BEN","1995","5985.658","",""
"","BMU","1995","61.405","",""
"","BTN","1995","509.105","",""
"","BOL","1995","7635.362","",""
"","BIH","1995","3520.996","",""
"","BWA","1995","1583.453","",""
"","BRA","1995","161890.816","",""
"","VGB","1995","18.44","",""
"","BRN","1995","295.003","",""
"","BGR","1995","8358.116","",""
"","BFA","1995","10089.876","",""
"","BDI","1995","6209.923","",""
"","KHM","1995","10769.198","",""
"","CMR","1995","13929.575","",""
"","CAN","1995","29294.899","",""
"","CPV","1995","399.477","",""
"","CYM","1995","32.792","",""
"","CAF","1995","3275.695","",""
"","TCD","1995","6980.351","",""
"","CIS","1995","144.05","",""
"","CHL","1995","14440.103","",""
"","CHN","1995","1237531.429","",""
"","HKG","1995","6144.498","",""
"","MAC","1995","398.459","",""
"","COL","1995","36573.895","",""
"","COM","1995","465.895","",""
"","COG","1995","2720.633","",""
"","COK","1995","18.307","",""
"","CRI","1995","3478.197","",""
"","CIV","1995","14217.43","",""
"","HRV","1995","4690.192","",""
"","CUB","1995","10932.013","",""
"","CYP","1995","855.389","",""
"","CZE","1995","10339.223","",""
"","PRK","1995","21763.678","",""
"","COD","1995","42012.524","",""
"","DNK","1995","5232.582","",""
"","DJI","1995","663.999","",""
"","DMA","1995","71.364","",""
"","DOM","1995","7977.966","",""
"","ECU","1995","11315.8","",""
"","EGY","1995","61168.397","",""
"","SLV","1995","5748.013","",""
"","GNQ","1995","441.829","",""
"","ERI","1995","3407.812","",""
"","EST","1995","1433.076","",""
"","ETH","1995","57023.519","",""
