"","","Water","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","AFG","2015.0","55.3","Met target",""
"","ALB","2015.0","95.1","Limited or no progress",""
"","DZA","2015.0","83.6","Limited or no progress","24"
"","ASM","2015.0","100.0","Met target","41"
"","AND","2015.0","100.0","Met target","42"
"","AGO","2015.0","49.0","Limited or no progress","28"
"","AIA","2015.0","94.6","Met target",""
"","ATG","2015.0","97.9","Met target","32"
"","ARG","2015.0","99.1","Met target","27"
"","ARM","2015.0","100.0","Met target",""
"","ABW","2015.0","98.1","Met target","44"
"","AUS","2015.0","100.0","Met target","29"
"","AUT","2015.0","100.0","Met target","10"
"","AZE","2015.0","87.0","Met target","35"
"","BHS","2015.0","98.4","Met target",""
"","BHR","2015.0","100.0","Met target","65"
"","BGD","2015.0","86.9","Met target","41"
"","BRB","2015.0","99.7","Met target","13"
"","BLR","2015.0","99.7","Met target","-11"
"","BEL","2015.0","100.0","Met target","11"
"","BLZ","2015.0","99.5","Met target","60"
"","BEN","2015.0","77.9","Met target","52"
"","BMU","2015.0","","NA",""
"","BTN","2015.0","100.0","Met target","50"
"","BOL","2015.0","90.0","Met target","48"
"","BIH","2015.0","99.9","Met target","-15"
"","BWA","2015.0","96.2","Met target","34"
"","BRA","2015.0","98.1","Met target","33"
"","VGB","2015.0","","NA",""
"","BRN","2015.0","","NA",""
"","BGR","2015.0","99.4","Met target","-24"
"","BFA","2015.0","82.3","Met target","61"
"","BDI","2015.0","75.9","Moderate progress","40"
"","KHM","2015.0","75.5","Met target","62"
"","CMR","2015.0","75.6","Met target","49"
"","CAN","2015.0","99.8","Met target","23"
"","CPV","2015.0","91.7","Met target",""
"","CYM","2015.0","97.4","Met target",""
"","CAF","2015.0","68.5","Moderate progress","33"
"","TCD","2015.0","50.8","Moderate progress","33"
"","CIS","2015.0","","NA",""
"","CHL","2015.0","99.0","Met target","32"
"","CHN","2015.0","95.5","Met target","40"
"","HKG","2015.0","","NA",""
"","MAC","2015.0","","NA",""
"","COL","2015.0","91.4","Moderate progress","32"
"","COM","2015.0","90.1","Limited or no progress","42"
"","COG","2015.0","76.5","NA",""
"","COK","2015.0","99.9","Met target","15"
"","CRI","2015.0","97.8","Met target","41"
"","CIV","2015.0","81.9","Moderate progress","39"
"","HRV","2015.0","99.6","Met target","-11"
"","CUB","2015.0","94.9","Met target",""
"","CYP","2015.0","100.0","Met target","34"
"","CZE","2015.0","100.0","Met target","4"
"","PRK","2015.0","99.7","Met target","19"
"","COD","2015.0","52.4","Limited or no progress","31"
"","DNK","2015.0","100.0","Met target","9"
"","DJI","2015.0","90.0","Met target","39"
"","DMA","2015.0","","NA",""
"","DOM","2015.0","84.7","Limited or no progress","25"
"","ECU","2015.0","86.9","Met target","41"
"","EGY","2015.0","99.4","Met target","37"
"","SLV","2015.0","93.8","Met target","35"
"","GNQ","2015.0","47.9","Limited or no progress",""
"","ERI","2015.0","57.8","Moderate progress","35"
"","EST","2015.0","99.6","Met target","-21"
"","ETH","2015.0","57.3","Met target","51"
"","FRO","2015.0","","NA",""
"","FLK","2015.0","","NA",""
"","FJI","2015.0","95.7","Met target","26"
"","FIN","2015.0","100.0","Met target","9"
"","FRA","2015.0","100.0","Met target","13"
"","GUF","2015.0","","NA",""
"","PYF","2015.0","100.0","Met target","30"
"","GAB","2015.0","93.2","Met target",""
"","GMB","2015.0","90.2","Met target","55"
"","GEO","2015.0","100.0","Met target","-8"
"","DEU","2015.0","100.0","Met target","3"
"","GHA","2015.0","88.7","Met target","59"
"","GRC","2015.0","100.0","Met target","11"
"","GRL","2015.0","100.0","Met target","3"
"","GRD","2015.0","96.6","Met target","9"
"","GLP","2015.0","99.3","Met target","19"
"","GUM","2015.0","99.5","Met target","23"
"","GTM","2015.0","92.8","Met target","51"
"","GIN","2015.0","76.8","Met target","51"
"","GNB","2015.0","79.3","Met target","59"
"","GUY","2015.0","98.3","Met target","27"
"","HTI","2015.0","57.7","Limited or no progress","16"
"","HND","2015.0","91.2","Met target","49"
"","HUN","2015.0","100.0","Met target","-1"
