"","","Water","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","AFG","1995.0","21.5","Met target",""
"","ALB","1995.0","95.7","Limited or no progress",""
"","DZA","1995.0","91.2","Limited or no progress","24"
"","ASM","1995.0","95.7","Met target","41"
"","AND","1995.0","100.0","Met target","42"
"","AGO","1995.0","46.1","Limited or no progress","28"
"","AIA","1995.0","93.4","Met target",""
"","ATG","1995.0","97.6","Met target","32"
"","ARG","1995.0","95.1","Met target","27"
"","ARM","1995.0","90.5","Met target",""
"","ABW","1995.0","92.6","Met target","44"
"","AUS","1995.0","100.0","Met target","29"
"","AUT","1995.0","100.0","Met target","10"
"","AZE","1995.0","70.2","Met target","35"
"","BHS","1995.0","96.3","Met target",""
"","BHR","1995.0","96.0","Met target","65"
"","BGD","1995.0","72.1","Met target","41"
"","BRB","1995.0","96.9","Met target","13"
"","BLR","1995.0","99.5","Met target","-11"
"","BEL","1995.0","100.0","Met target","11"
"","BLZ","1995.0","79.0","Met target","60"
"","BEN","1995.0","61.7","Met target","52"
"","BMU","1995.0","","NA",""
"","BTN","1995.0","76.9","Met target","50"
"","BOL","1995.0","73.9","Met target","48"
"","BIH","1995.0","97.1","Met target","-15"
"","BWA","1995.0","93.7","Met target","34"
"","BRA","1995.0","91.1","Met target","33"
"","VGB","1995.0","94.8","NA",""
"","BRN","1995.0","","NA",""
"","BGR","1995.0","99.8","Met target","-24"
"","BFA","1995.0","50.7","Met target","61"
"","BDI","1995.0","70.3","Moderate progress","40"
"","KHM","1995.0","30.3","Met target","62"
"","CMR","1995.0","56.5","Met target","49"
"","CAN","1995.0","99.8","Met target","23"
"","CPV","1995.0","79.9","Met target",""
"","CYM","1995.0","92.3","Met target",""
"","CAF","1995.0","60.2","Moderate progress","33"
"","TCD","1995.0","42.3","Moderate progress","33"
"","CIS","1995.0","","NA",""
"","CHL","1995.0","92.7","Met target","32"
"","CHN","1995.0","73.9","Met target","40"
"","HKG","1995.0","","NA",""
"","MAC","1995.0","","NA",""
"","COL","1995.0","89.2","Moderate progress","32"
"","COM","1995.0","90.1","Limited or no progress","42"
"","COG","1995.0","","NA",""
"","COK","1995.0","99.9","Met target","15"
"","CRI","1995.0","94.0","Met target","41"
"","CIV","1995.0","76.9","Moderate progress","39"
"","HRV","1995.0","98.2","Met target","-11"
"","CUB","1995.0","89.6","Met target",""
"","CYP","1995.0","100.0","Met target","34"
"","CZE","1995.0","99.8","Met target","4"
"","PRK","1995.0","100.0","Met target","19"
"","COD","1995.0","45.2","Limited or no progress","31"
"","DNK","1995.0","100.0","Met target","9"
"","DJI","1995.0","78.9","Met target","39"
"","DMA","1995.0","94.5","NA",""
"","DOM","1995.0","87.0","Limited or no progress","25"
"","ECU","1995.0","76.8","Met target","41"
"","EGY","1995.0","94.6","Met target","37"
"","SLV","1995.0","76.2","Met target","35"
"","GNQ","1995.0","47.3","Limited or no progress",""
"","ERI","1995.0","48.4","Moderate progress","35"
"","EST","1995.0","98.9","Met target","-21"
"","ETH","1995.0","19.5","Met target","51"
"","FRO","1995.0","","NA",""
"","FLK","1995.0","","NA",""
"","FJI","1995.0","88.3","Met target","26"
"","FIN","1995.0","100.0","Met target","9"
"","FRA","1995.0","100.0","Met target","13"
"","GUF","1995.0","83.1","NA",""
"","PYF","1995.0","100.0","Met target","30"
"","GAB","1995.0","80.0","Met target",""
"","GMB","1995.0","79.3","Met target","55"
"","GEO","1995.0","85.8","Met target","-8"
"","DEU","1995.0","100.0","Met target","3"
"","GHA","1995.0","63.2","Met target","59"
"","GRC","1995.0","98.2","Met target","11"
"","GRL","1995.0","100.0","Met target","3"
"","GRD","1995.0","96.6","Met target","9"
"","GLP","1995.0","97.8","Met target","19"
"","GUM","1995.0","99.6","Met target","23"
"","GTM","1995.0","80.3","Met target","51"
"","GIN","1995.0","57.6","Met target","51"
"","GNB","1995.0","43.8","Met target","59"
"","GUY","1995.0","82.3","Met target","27"
"","HTI","1995.0","62.2","Limited or no progress","16"
"","HND","1995.0","77.0","Met target","49"
