"","","Sanitation","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","AFG","2005.0","26.3","Limited or no progress",""
"","ALB","2005.0","87.4","Met target","9"
"","DZA","2005.0","85.3","Good progress","36"
"","ASM","2005.0","61.9","Limited or no progress","24"
"","AND","2005.0","100.0","Met target","42"
"","AGO","2005.0","39.0","Good progress","41"
"","AIA","2005.0","94.7","Met target",""
"","ATG","2005.0","89.5","NA",""
"","ARG","2005.0","93.2","Met target","29"
"","ARM","2005.0","89.4","Limited or no progress",""
"","ABW","2005.0","98.0","Met target","39"
"","AUS","2005.0","100.0","Met target","29"
"","AUT","2005.0","100.0","Met target","10"
"","AZE","2005.0","73.7","Met target",""
"","BHS","2005.0","90.0","Met target",""
"","BHR","2005.0","99.2","Met target","63"
"","BGD","2005.0","50.7","Good progress","38"
"","BRB","2005.0","90.1","Met target","24"
"","BLR","2005.0","94.6","Limited or no progress","-11"
"","BEL","2005.0","99.5","Met target","11"
"","BLZ","2005.0","86.0","Met target","50"
"","BEN","2005.0","14.5","Limited or no progress","17"
"","BMU","2005.0","","NA",""
"","BTN","2005.0","39.0","Good progress","37"
"","BOL","2005.0","42.2","Moderate progress","33"
"","BIH","2005.0","94.9","Limited or no progress",""
"","BWA","2005.0","56.3","Good progress","37"
"","BRA","2005.0","77.7","Met target","34"
"","VGB","2005.0","97.5","Met target","32"
"","BRN","2005.0","","NA",""
"","BGR","2005.0","85.9","Limited or no progress","-20"
"","BFA","2005.0","14.4","Limited or no progress","16"
"","BDI","2005.0","45.6","Limited or no progress","26"
"","KHM","2005.0","24.9","Good progress","41"
"","CMR","2005.0","43.4","Limited or no progress","25"
"","CAN","2005.0","99.8","Met target","23"
"","CPV","2005.0","54.0","Met target",""
"","CYM","2005.0","95.5","Limited or no progress","53"
"","CAF","2005.0","18.9","Limited or no progress","13"
"","TCD","2005.0","10.7","Limited or no progress","9"
"","CIS","2005.0","","NA",""
"","CHL","2005.0","94.8","Met target","37"
"","CHN","2005.0","64.9","Met target","37"
"","HKG","2005.0","","NA",""
"","MAC","2005.0","","NA",""
"","COL","2005.0","77.1","Good progress","35"
"","COM","2005.0","28.9","Moderate progress","26"
"","COG","2005.0","13.4","NA",""
"","COK","2005.0","94.2","Met target",""
"","CRI","2005.0","92.8","Met target","40"
