"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","AFG","2015","32006.788","",""
"","ALB","2015","3196.981","",""
"","DZA","2015","40633.464","",""
"","ASM","2015","74.208","",""
"","AND","2015","91.672","",""
"","AGO","2015","22819.926","",""
"","AIA","2015","16.607","",""
"","ATG","2015","91.822","",""
"","ARG","2015","42154.914","",""
"","ARM","2015","2989.467","",""
"","ABW","2015","103.889","",""
"","AUS","2015","23923.101","",""
"","AUT","2015","8557.761","",""
"","AZE","2015","9612.58","",""
"","BHS","2015","387.549","",""
"","BHR","2015","1359.726","",""
"","BGD","2015","160411.249","",""
"","BRB","2015","287.482","",""
"","BLR","2015","9259.665999999999","",""
"","BEL","2015","11183.411","",""
"","BLZ","2015","347.598","",""
"","BEN","2015","10879.828","",""
"","BMU","2015","65.57599999999999","",""
"","BTN","2015","776.461","",""
"","BOL","2015","11024.522","",""
"","BIH","2015","3819.684","",""
"","BWA","2015","2056.37","",""
"","BRA","2015","203657.21","",""
"","VGB","2015","24.363","",""
"","BRN","2015","428.539","",""
"","BGR","2015","7112.641","",""
"","BFA","2015","17914.625","",""
"","BDI","2015","10812.619","",""
"","KHM","2015","15677.059","",""
"","CMR","2015","23393.129","",""
"","CAN","2015","35871.283","",""
"","CPV","2015","508.315","",""
"","CYM","2015","58.592","",""
"","CAF","2015","4803.082","",""
"","TCD","2015","13605.625","",""
"","CIS","2015","163.534","",""
"","CHL","2015","17924.062","",""
"","CHN","2015","1401586.609","",""
"","HKG","2015","7313.557","",""
"","MAC","2015","584.42","",""
"","COL","2015","49529.208","",""
"","COM","2015","770.058","",""
"","COG","2015","4671.142","",""
"","COK","2015","20.84","",""
"","CRI","2015","5001.657","",""
"","CIV","2015","21295.284","",""
"","HRV","2015","4255.374","",""
"","CUB","2015","11248.783","",""
"","CYP","2015","1164.695","",""
"","CZE","2015","10777.06","",""
"","PRK","2015","25155.326","",""
"","COD","2015","71246.355","",""
"","DNK","2015","5661.723","",""
"","DJI","2015","899.658","",""
"","DMA","2015","67.78400000000001","",""
"","DOM","2015","10652.135","",""
"","ECU","2015","16225.691","",""
"","EGY","2015","84705.681","",""
"","SLV","2015","6426.002","",""
"","GNQ","2015","799.372","",""
"","ERI","2015","6737.634","",""
"","EST","2015","1280.227","",""
"","ETH","2015","98942.102","",""
